,word,pronounciation,definition,part of speech,sentence_1_kanji,sentence_1_hiragana,sentence_1_english
0,行く,いく,go,Verb,日曜日は図書館に行きます。,にちようび は としょかん に いきます。,I go to the library on Sundays.
1,見る,みる,"see, look at",Verb,私は絵を見るのが好きです。,わたし は え を みる の が すき です。,I like looking at pictures.
2,多い,おおい,"a lot of, many",Adjective,京都にはお寺が多い。,きょうと に は おてら が おおい。,There are a lot of temples in Kyoto.
3,家,うち,"home, household",Noun,家に遊びにきてください。,うち に あそび に きて ください。,Please come over to my home.
4,これ,,"this, this one",Pronoun,これをください。,これ を ください。,I'll have this please.
5,それ,,"that, that one",Pronoun,それはとてもいい話だ。,それ は とても いい はなし だ。,That's a really nice story.
6,私,わたし,I (general),Pronoun,私が行きましょう。,わたし が いきましょう。,I'll go.
7,仕事,しごと,"work, job",Verbal Noun,3月は仕事が忙しい。,3 がつ は しごと が いそがしい。,I'm busy at work in March.
8,いつ,,when,Interrogative,彼女はいつ来ますか。,かのじょ は いつ きます か。,When is she coming?
9,する,,"do, make",Verb,友達と一緒に宿題をした。,ともだち と いっしょ に しゅくだい を した。,I did my homework with my friend.
10,出る,でる,"go out, leave",Verb,今朝は早く家を出ました。,けさ は はやく いえ を でました。,I left the house early this morning.
11,使う,つかう,"use, make use of",Verb,このパソコンを使ってください。,この パソコン を つかって ください。,Please use this computer.
12,所,ところ,place,Noun,私は友達の所に泊まった。,わたし は ともだち の ところ に とまった。,I stayed at my friend's place for the night.
13,作る,つくる,"make, create",Verb,今、朝ご飯を作っています。,いま、あさ ごはん を つくって います。,I'm making breakfast now.
14,思う,おもう,think,Verb,私もそう思います。,わたし も そう おもいます。,"I think so, too."
15,持つ,もつ,"have, possess",Verb,私は車を持っています。,わたし は くるま を もって います。,I have a car.
16,買う,かう,buy,Verb,郵便局で切手を買いました。,ゆうびんきょく で きって を かいました。,I bought a stamp at the post office.
17,時間,じかん,"time, hour",Noun,今は時間がありません。,いま は じかん が ありません。,I don't have time now.
18,知る,しる,know,Verb,誰もその話を知らない。,だれ も その はなし を しらない。,No one knows that story.
19,同じ,おなじ,"same, identical",Adjectival Noun,彼の日本語のレベルは私と同じくらいだ。,かれ の にほん ご の レベル は わたし と おなじ くらい だ。,His Japanese level is about the same as mine.
20,今,いま,now,Adverb,彼は今、勉強しています。,かれ は いま、べんきょう して います。,He's studying now.
21,新しい,あたらしい,new,Adjective,彼の車は新しい。,かれ の くるま は あたらしい。,His car is new.
22,なる,,become,Verb,彼は医者になりました。,かれ は いしゃ に なりました。,He became a doctor.
23,まだ,,"(not) yet, still",Adverb,宿題はまだ終わっていません。,しゅくだい は まだ おわって いません。,I haven't finished my homework yet.
24,あと,,after,Noun,仕事のあと、映画を見た。,しごと の あと、 えいが を みた。,I saw a movie after work.
25,聞く,きく,"hear, ask, listen",Verb,彼女はラジオを聞いています。,かのじょ は ラジオ を きいて います。,She's listening to the radio.
26,言う,いう,"say, tell",Verb,上司が「一杯、飲もう」と言った。,じょうし が 「いっぱい のもう」 と いった。,"My boss said: ""Let's have a drink."""
27,少ない,すくない,"few, little",Adjective,今年は雨が少ないです。,ことし は あめ が すくない です。,There's not much rain this year.
28,高い,たかい,"high, tall",Adjective,これがこの町で一番高いビルです。,これ が この まち で いちばん たかい ビル です。,This is the tallest building in this town.
29,子供,こども,child,Noun,電車で子供が騒いでいた。,でんしゃ で こども が さわいで いた。,Children were making a lot of noise in the train.
30,そう,,"so, that way",Adverb,私もそう思います。,わたし も そう おもいます。,That's what I think too.
31,もう,,"already, yet",Adverb,彼はもう帰りました。,かれ は もう かえりました。,He's already gone home.
32,学生,がくせい,student,Noun,彼は真面目な学生です。,かれ は まじめな がくせい です。,He's a serious student.
33,熱い,あつい,hot (to touch),Adjective,このスープはとても熱い。,この スープ は とても あつい。,This soup is very hot.
34,どうぞ,,please,Adverb,こちらへどうぞ。,こちら へ どうぞ。,This way please.
35,午後,ごご,"afternoon, p.m.",Noun,明日の午後、お客様が来る。,あす の ごご おきゃくさま が くる。,A guest is coming to visit tomorrow afternoon.
36,長い,ながい,long,Adjective,彼女の髪はとても長い。,かのじょ の かみ は とても ながい。,Her hair is very long.
37,本,ほん,book,Noun,本を1冊買いました。,ほん を 1 さつ かいました。,I bought one book.
38,今年,ことし,this year (colloquial),Noun,今年はイタリアに旅行したい。,ことし は イタリア に りょこう したい。,I want to travel to Italy this year.
39,よく,,"often, well",Adverb,彼女はよく旅行に行きます。,かのじょ は よく りょこう に いきます。,She often goes on holiday.
40,彼女,かのじょ,"she, girlfriend",Pronoun,彼女はOLです。,かのじょ は オーエル です。,She's an office worker.
41,どう,,"how, what",Interrogative,あなたはどう思いますか。,あなた は どう おもいます か。,What do you think?
42,言葉,ことば,"word, language",Noun,この言葉の意味が分かりません。,この ことば の いみ が わかりません。,I don't understand the meaning of this word.
43,顔,かお,face,Noun,彼はタオルで顔を拭きました。,かれ は タオル で かお を ふきました。,He wiped his face with a towel.
44,終わる,おわる,"finish, end",Verb,会議は4時に終わります。,かいぎ は 4 じ に おわります。,The conference ends at four o'clock.
45,一つ,ひとつ,one (thing),Noun,それを一つください。,それ を ひとつ ください。,Please give me one of those.
46,あげる,,"give, offer (colloquial)",Verb,この本、あなたにあげます。,この ほん、あなた に あげます。,I'll give you this book.
47,こう,,"like this, such",Adverb,こう小さい字は読めない。,こう ちいさい じ は よめない。,I can't read such small letters.
48,学校,がっこう,school,Noun,学校は8時半に始まります。,がっこう は 8 じ はん に はじまります。,School starts at 8:30.
49,くれる,,be given,Verb,友達が誕生日プレゼントをくれた。,ともだち が たんじょうび プレゼント を くれた。,My friend gave me a birthday present.
50,始める,はじめる,start (something),Verb,テストを始めてください。,テスト を はじめて ください。,Please start the test.
51,起きる,おきる,"get up, get out of bed",Verb,私は毎朝6時に起きます。,わたし は まいあさ 6 じ に おきます。,I get up at six o'clock every morning.
52,春,はる,spring,Noun,今年の春は暖かいね。,ことし の はる は あたたかい ね。,"It's warm this spring, don't you think?"
53,午前,ごぜん,"morning, a.m.",Noun,午前9時のニュースです。,ごぜん 9 じ の ニュース です。,Now for the 9.00 a.m. news.
54,別,べつ,"another, different",Adjectival Noun,別の本も見せてください。,べつ の ほん も みせて ください。,Please show me another book.
55,どこ,,where,Interrogative,あの本をどこに置きましたか。,あの ほん を どこ に おきました か。,Where did you put that book?
56,部屋,へや,room,Noun,私の部屋は2階にあります。,わたし の へや は 2 かい に あります。,My room is on the second floor.
57,若い,わかい,young,Adjective,彼はまだ若いです。,かれ は まだ わかい です。,He's still young.
58,車,くるま,"car, automobile",Noun,弟が車を買った。,おとうと が くるま を かった。,My younger brother bought a car.
59,置く,おく,"put, place",Verb,彼はかばんをいすの上に置きました。,かれ は かばん を いす の うえ に おきました。,He put the bag on the chair.
60,住む,すむ,"live, reside",Verb,彼は会社の近くに住んでいる。,かれ は かいしゃ の ちかく に すんで いる。,He lives near his office.
61,働く,はたらく,work,Verb,姉は銀行で働いています。,あね は ぎんこう で はたらいて います。,My big sister works at a bank.
62,難しい,むずかしい,difficult,Adjective,この本は難しいですね。,この ほん は むずかしい です ね。,This book is difficult.
63,先生,せんせい,teacher (colloquial),Noun,私は日本語の先生になりたいです。,わたし は にほん ご の せんせい に なりたい です。,I want to become a Japanese teacher.
